date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2024-08-07,129.41797342865308,130.78506469726562,128.9622763391156,130.78506469726562,104271,0.0,0.0,50.0,50.0,0.0,0.0,0.0
2024-08-08,129.41797538891174,130.32936958179138,129.41797538891174,129.87367248535156,72240,0.0,0.0,50.0,50.0,-0.35,-0.35,-0.35
2024-08-09,130.32936566098752,131.6964569091797,129.8736685782568,131.6964569091797,143324,0.0,0.0,50.0,50.0,0.7,0.7,0.7
2024-08-12,131.24075127963363,132.1521453857422,131.24075127963363,132.1521453857422,104354,0.0,0.0,50.0,50.0,0.78,0.78,0.78
2024-08-13,132.1521586587984,133.0635528564453,131.24076446115154,133.0635528564453,89110,0.0,0.0,50.0,50.0,1.18,1.18,1.18
2024-08-14,133.51924797629013,133.97494506835938,132.15215670008237,133.97494506835938,172225,0.0,0.0,50.0,50.0,1.38,1.55,1.55
2024-08-15,134.88633728027344,134.88633728027344,133.51924602405447,134.88633728027344,154657,0.0,0.0,50.0,50.0,1.3,1.92,1.92
2024-08-16,134.88633925249786,134.88633925249786,133.51924797629013,133.97494506835938,90200,0.0,0.0,50.0,50.0,0.27,1.07,1.07
2024-08-19,133.06356150833602,133.51925863678923,132.1521672514296,132.6078643798828,31394,0.0,0.0,53.85,51.28,-0.82,0.04,0.04
2024-08-20,133.06356150833602,133.06356150833602,132.1521672514296,132.6078643798828,51061,0.0,0.0,55.34,52.64,-0.75,0.03,0.03
2024-08-21,132.60785575762188,133.0635528564453,132.60785575762188,133.0635528564453,46269,0.0,0.0,58.11,54.46,-0.27,0.21,0.34
2024-08-22,133.0635528564453,133.51924995526875,132.1521586587984,133.0635528564453,27168,0.0,0.0,55.4,54.77,-0.0,-0.03,0.31
2024-08-23,132.60784243879647,133.06353949185075,132.1521453857422,132.1521453857422,35152,0.0,0.0,45.27,51.61,-0.41,-0.75,-0.34
2024-08-26,132.1521586587984,133.0635528564453,132.1521586587984,133.0635528564453,52127,0.0,0.0,41.29,48.17,0.21,-0.14,0.32
2024-08-27,132.60786034535553,134.43064880371094,132.60786034535553,134.43064880371094,69381,0.0,0.0,55.31,50.55,0.96,0.79,1.26
2024-08-28,133.51924797629013,133.97494506835938,133.0635508842209,133.97494506835938,44001,0.0,0.0,59.09,53.4,0.48,0.44,0.86
2024-08-29,133.97494506835938,134.43064216042862,133.51924797629013,133.97494506835938,61466,0.0,0.0,66.06,57.62,0.34,0.51,0.81
2024-08-30,134.43064880371094,134.43064880371094,133.51925457453325,134.43064880371094,63116,0.0,0.0,77.37,64.2,0.34,0.82,1.09
2024-09-02,134.43064019486712,134.88633728027344,133.97494310946078,134.88633728027344,92273,0.0,0.0,84.92,71.11,0.41,0.99,1.35
2024-09-03,134.88633925249786,134.88633925249786,133.97494506835938,133.97494506835938,33150,0.0,0.0,78.83,73.68,-0.2,0.2,0.63
2024-09-04,132.1521626578437,133.06355688307022,131.2407684326172,131.2407684326172,138349,0.0,0.0,52.56,66.64,-1.84,-1.71,-1.44
2024-09-05,131.24075127963363,132.60784243879647,131.24075127963363,132.1521453857422,44272,0.0,0.0,43.37,58.88,-0.89,-0.96,-0.84
2024-09-06,131.6964483326879,133.06353949185075,131.24075127963363,132.1521453857422,59300,0.0,0.0,37.25,51.67,-0.55,-0.96,-0.85
2024-09-09,131.2407684326172,132.60785977045694,130.78507132000394,131.2407684326172,91043,0.0,0.0,28.53,43.96,-0.69,-1.5,-1.5
2024-09-10,132.1521453857422,133.06353949185075,131.6964483326879,132.1521453857422,33016,0.0,0.0,30.13,39.35,0.28,-0.65,-0.79
2024-09-11,131.6964569091797,133.06354815737186,131.6964569091797,131.6964569091797,37126,0.0,0.0,27.5,35.4,-0.14,-0.82,-1.04
2024-09-12,133.51925659179688,133.51925659179688,132.60786234884944,133.51925659179688,41201,0.0,0.0,40.55,37.12,1.03,0.58,0.38
2024-09-13,133.51925659179688,133.97495371327057,133.06355947032316,133.51925659179688,37105,0.0,0.0,49.26,41.16,0.83,0.65,0.39
2024-09-16,133.97494506835938,133.97494506835938,133.0635508842209,133.97494506835938,55376,0.0,0.0,66.17,49.5,0.75,1.07,0.68
2024-09-18,133.97494506835938,134.88633925249786,133.0635508842209,133.97494506835938,77009,0.0,0.0,70.04,56.35,0.48,1.07,0.63
2024-09-19,133.51924602405447,134.88633728027344,133.51924602405447,134.88633728027344,63124,0.0,0.0,80.03,64.24,0.68,1.47,1.25
2024-09-20,134.88634591829978,134.88634591829978,133.9749516891221,134.43064880371094,79207,0.0,0.0,82.98,70.49,0.2,0.96,0.85
2024-09-23,134.43064880371094,134.88634591829978,134.43064880371094,134.43064880371094,76050,0.0,0.0,83.89,74.96,0.07,0.79,0.77
2024-09-24,134.43064680003158,135.342041015625,133.97494969223484,135.342041015625,108351,0.0,0.0,89.26,79.72,0.54,1.16,1.37
2024-09-25,135.34203241335464,135.7977294921875,134.43063825568896,135.7977294921875,73825,0.0,0.0,92.84,84.1,0.61,1.22,1.65
2024-09-26,135.7977294921875,135.7977294921875,134.88633533452182,135.7977294921875,70349,0.0,0.0,95.23,87.81,0.47,0.91,1.59
2024-09-27,135.7977294921875,135.7977294921875,134.88633533452182,135.7977294921875,52107,0.0,0.0,96.82,90.81,0.27,0.74,1.52
2024-09-30,136.25342657102033,136.25342657102033,135.34203241335464,135.7977294921875,56361,0.0,0.0,93.12,91.58,0.07,0.57,1.46
2024-10-01,135.34203241335464,135.7977294921875,134.43063825568896,135.7977294921875,89222,0.0,0.0,89.86,91.0,0.0,0.44,1.43
2024-10-04,135.34204303288865,135.34204303288865,133.9749516891221,134.43064880371094,111199,0.0,0.0,66.57,82.86,-0.81,-0.61,0.39
2024-10-07,133.97494835947074,139.89901070189632,133.97494835947074,139.4433135986328,343203,0.0,0.0,75.15,80.29,2.34,2.75,3.82
2024-10-08,139.4433135986328,139.4433135986328,137.1648280823153,139.4433135986328,125592,0.0,0.0,80.87,80.48,1.8,2.38,3.54
2024-10-09,138.53192138671875,139.4433156063682,137.62052716706927,138.53192138671875,110080,0.0,0.0,79.55,80.17,0.73,1.4,2.62
2024-10-11,138.5319228350106,138.5319228350106,134.43064880371094,134.43064880371094,108310,0.0,0.0,55.6,71.98,-2.06,-1.54,-0.54
2024-10-14,134.43064680003158,136.25343523121845,133.51925258443814,135.342041015625,91221,0.0,0.0,46.59,63.52,-1.53,-0.83,0.02
2024-10-15,135.34203241335464,137.16482072868604,135.34203241335464,135.7977294921875,44057,0.0,0.0,42.96,56.67,-0.67,-0.5,0.2
2024-10-16,135.7977310571915,142.177490234375,135.34203397310696,142.177490234375,549247,0.0,0.0,61.98,58.44,3.59,3.69,4.58
2024-10-17,138.9876251220703,139.44332225361808,137.16483659587922,138.9876251220703,124720,0.0,0.0,62.37,59.75,1.19,1.13,2.02
2024-10-18,138.98761452018442,141.26610000412185,138.53191742339692,140.35470581054688,211044,0.0,0.0,67.9,62.46,1.32,1.78,2.79
2024-10-21,141.26610919928095,143.08889770507812,139.89901781993308,143.08889770507812,372592,0.0,0.0,78.6,67.84,2.15,3.12,4.44
2024-10-22,143.08888638404107,143.5445834744361,141.26609802246094,141.26609802246094,75518,0.0,0.0,78.16,71.28,0.06,1.67,2.87
2024-10-23,141.26609802246094,141.26609802246094,139.89900675127583,141.26609802246094,57707,0.0,0.0,77.86,73.47,0.19,1.54,2.62
2024-10-24,139.8990087137594,140.35470581054688,138.98761452018442,140.35470581054688,33477,0.0,0.0,74.63,73.86,-0.65,0.75,1.73
2024-10-25,139.4433116169719,140.35470581054688,138.98761452018442,140.35470581054688,16430,0.0,0.0,70.13,72.62,-0.65,0.33,1.55
2024-10-28,141.26610000412185,141.26610000412185,139.4433116169719,140.35470581054688,30515,0.0,0.0,67.12,70.78,-0.26,-0.03,1.38
2024-10-29,140.81040490842332,140.81040490842332,138.5319193921058,139.4433135986328,45110,0.0,0.0,56.65,66.07,-0.65,-0.94,0.59
2024-10-30,139.89901070189632,139.89901070189632,138.9876164953693,139.4433135986328,36100,0.0,0.0,43.83,58.66,-0.39,-0.75,0.46
2024-11-01,139.4433116169719,140.35470581054688,138.07622032660944,140.35470581054688,132375,0.0,0.0,43.11,53.48,0.26,-0.19,0.95
2024-11-04,139.4433243251083,140.354718601743,138.07623291015625,138.07623291015625,45069,0.0,0.0,28.74,45.23,-1.05,-1.66,-0.77
2024-11-05,138.07622629127755,138.5319234077504,137.16483205833185,137.6205291748047,39229,0.0,0.0,22.86,37.77,-0.98,-1.6,-1.21
2024-11-06,137.62052253393637,138.07621962841958,137.16482543945312,137.16482543945312,28118,0.0,0.0,15.24,30.26,-0.99,-1.63,-1.46
2024-11-07,137.16482543945312,137.62052253393637,136.70912834496988,137.16482543945312,39124,0.0,0.0,13.49,24.67,-0.66,-1.34,-1.38
2024-11-08,136.70912364985318,137.16482072868604,135.7977294921875,135.7977294921875,45571,0.0,0.0,9.0,19.45,-1.0,-2.01,-2.26
2024-11-11,135.79773612644362,136.7091303286345,135.79773612644362,136.25343322753906,41349,0.0,0.0,9.03,15.97,-0.4,-1.39,-2.0
2024-11-12,135.34203634456713,135.34203634456713,133.51924797629013,133.97494506835938,138264,0.0,0.0,8.24,13.4,-1.54,-2.58,-3.59
2024-11-13,133.0635528564453,133.97494705409218,133.0635528564453,133.0635528564453,57071,0.0,0.0,5.49,10.76,-1.62,-2.8,-4.15
2024-11-14,133.06355688307022,133.51925399568347,131.2407684326172,131.2407684326172,183365,0.0,0.0,3.66,8.4,-2.11,-3.55,-5.09
2024-11-15,130.78507132000394,132.1521626578437,130.32937420739069,131.2407684326172,126018,0.0,0.0,6.15,7.65,-1.44,-2.9,-4.82
2024-11-18,131.24075127963363,132.60784243879647,131.24075127963363,132.1521453857422,55021,0.0,0.0,11.94,9.08,-0.14,-1.79,-3.88
2024-11-19,132.1521586587984,133.97494705409218,132.1521586587984,133.0635528564453,83020,0.0,0.0,20.46,12.87,0.69,-0.78,-2.86
2024-11-20,133.51925659179688,133.51925659179688,133.51925659179688,133.51925659179688,42770,0.0,0.0,29.2,18.31,0.96,-0.17,-2.25
2024-11-21,132.6078643798828,133.06356150833602,132.6078643798828,132.6078643798828,52037,0.0,0.0,31.37,22.66,0.07,-0.51,-2.61
