date,open,high,low,close,volume,dividends,stock_splits
2024-08-07,77.42619067291342,80.25777437425447,77.42619067291342,79.99231719970703,625902,0.0,0.0
2024-08-08,78.75350191774447,79.54988699520827,78.39955224431296,78.57653045654297,239504,0.0,0.0
2024-08-09,78.75350272923852,80.25778041803727,78.75350272923852,79.01896667480469,283102,0.0,0.0
2024-08-12,79.10745318329492,80.25778120631325,79.10745318329492,79.63837432861328,227719,0.0,0.0
2024-08-13,79.81534735746983,80.7002182006836,79.46140442100734,80.7002182006836,234749,0.0,0.0
2024-08-14,80.87719291211198,82.5584487915039,80.78870718183418,82.5584487915039,489473,0.0,0.0
2024-08-15,82.82390959139303,82.82390959139303,80.61173248291016,80.61173248291016,515800,0.0,0.0
2024-08-16,81.67358317852636,82.91239698322177,81.31963348388672,81.31963348388672,463351,0.0,0.0
2024-08-19,81.31963270923904,81.76206813556676,80.70021906176295,80.78871154785156,169524,0.0,0.0
2024-08-20,81.5850846947934,82.38146976143817,80.8771921085757,82.11601257324219,335537,0.0,0.0
2024-08-21,82.73542184173746,84.94759889632937,82.0275224838566,83.62029266357422,978889,0.0,0.0
2024-08-22,84.1512121641529,84.1512121641529,81.93903515273443,82.73542022705078,264110,0.0,0.0
2024-08-23,82.73541859915724,82.73541859915724,81.40811241842209,81.67357635498047,152300,0.0,0.0
2024-08-26,81.76206288151869,82.73541940668578,81.76206288151869,82.29298400878906,188021,0.0,0.0
2024-08-27,81.58508548070178,82.73542022705078,81.40811402019969,82.73542022705078,242012,0.0,0.0
2024-08-28,83.08936992419912,83.08936992419912,81.93903517750242,82.5584487915039,134011,0.0,0.0
2024-08-29,82.73542106529443,83.17785647206071,82.11601419623307,83.00088500976562,219000,0.0,0.0
2024-08-30,83.35482948736396,84.23970031738281,82.55845114116994,84.23970031738281,431100,0.0,0.0
2024-09-02,84.50515662745426,84.50515662745426,82.91238657699678,84.0627212524414,240105,0.0,0.0
2024-09-03,84.23969270203533,84.32818517786035,83.35482195200963,84.0627212524414,254559,0.0,0.0
2024-09-04,81.40811241842209,83.44331792929398,79.10744972202019,81.67357635498047,778502,0.0,0.0
2024-09-05,81.93903515273443,83.35482708983656,81.85054942248338,82.73542022705078,354062,0.0,0.0
2024-09-06,82.64693452178169,82.73542025205948,81.05416437266756,82.5584487915039,225719,0.0,0.0
2024-09-09,80.87719208572526,82.29298400878906,80.70021387594952,82.29298400878906,344015,0.0,0.0
2024-09-10,81.85054944722462,82.73542025205948,81.58508550536277,82.5584487915039,254072,0.0,0.0
2024-09-11,81.67357465159448,82.02751755825267,80.9656753362217,81.14264678955078,306086,0.0,0.0
2024-09-12,81.40811321299563,82.29298400878906,80.7887063563516,82.29298400878906,311075,0.0,0.0
2024-09-13,81.58508387544211,82.02751926902049,81.58508387544211,81.67357635498047,109000,0.0,0.0
2024-09-16,81.67357550606475,82.46995380540561,81.40811157226562,81.40811157226562,99916,0.0,0.0
2024-09-18,82.11601173777579,83.35482543880991,81.4965981362304,81.7620620727539,438801,0.0,0.0
2024-09-19,81.85054943484076,83.00088418136343,81.85054943484076,82.64693450927734,250208,0.0,0.0
2024-09-20,82.64693688872026,84.15121459960938,81.93903752416733,84.15121459960938,395619,0.0,0.0
2024-09-23,83.88575411802987,83.88575411802987,82.46995544433594,82.46995544433594,238800,0.0,0.0
2024-09-24,82.29298481236947,83.17785561680354,82.29298481236947,82.82390594482422,108117,0.0,0.0
2024-09-25,83.53180693159626,83.97424234251464,83.35482871661175,83.62029266357422,232019,0.0,0.0
2024-09-26,83.62029267779378,83.88575662480139,83.00088580281415,83.53180694580078,213426,0.0,0.0
2024-09-27,83.26634220320827,83.88575582329818,82.91239252758953,83.00088500976562,156027,0.0,0.0
2024-09-30,82.646935320844,83.17785645867237,82.55844958971069,83.08937072753906,119495,0.0,0.0
2024-10-01,83.7087767366743,83.7087767366743,82.20449906977389,82.91239166259766,161016,0.0,0.0
2024-10-04,83.1778564453125,83.1778564453125,82.2929856320645,83.1778564453125,174200,0.0,0.0
2024-10-07,83.62029266357422,83.62029266357422,82.82390757371542,83.62029266357422,158172,0.0,0.0
2024-10-08,83.44332119961831,83.62029266357422,82.73542184173746,83.62029266357422,158006,0.0,0.0
2024-10-09,83.88575662480139,83.88575662480139,82.82390758779954,83.53180694580078,171010,0.0,0.0
2024-10-11,83.79726140018607,86.54036625942328,83.79726140018607,86.45187377929688,1312239,0.0,0.0
2024-10-14,86.80582672423107,88.13313296390135,86.80582672423107,87.95616149902344,798051,0.0,0.0
2024-10-15,87.9561638614459,89.37195587158203,87.15977874604782,89.37195587158203,774040,0.0,0.0
2024-10-16,89.37195507448111,89.81439049564192,88.48708423215952,88.92951965332031,506532,0.0,0.0
2024-10-17,89.81439129668888,89.81439129668888,88.48708502136834,89.37195587158203,285509,0.0,0.0
2024-10-18,88.92951367758765,89.81438446044922,88.39859255807637,89.81438446044922,296301,0.0,0.0
2024-10-21,90.25681985188,90.25681985188,88.48707828615686,89.81438446044922,264902,0.0,0.0
2024-10-22,89.81438635518931,89.81438635518931,86.80582427978516,86.80582427978516,597607,0.0,0.0
2024-10-23,86.80582828154273,88.92951965332031,86.80582828154273,88.92951965332031,363819,0.0,0.0
2024-10-24,88.31011115041797,88.48708261523699,87.33674784082746,88.13313293457031,140121,0.0,0.0
2024-10-25,88.13313130786688,88.3985952512243,87.15977476727058,87.24826049804688,198180,0.0,0.0
2024-10-28,87.24826213745449,87.95616149902344,86.80582672423107,87.95616149902344,202908,0.0,0.0
2024-10-29,87.60220851065624,87.60220851065624,86.00943838277841,86.45187377929688,246600,0.0,0.0
2024-10-30,86.4518745968561,86.8943099975586,85.3900323355815,86.8943099975586,235098,0.0,0.0
2024-11-01,86.71733428955078,88.48707580566406,86.09792745932238,88.48707580566406,438226,0.0,0.0
2024-11-04,88.31010868062934,88.31010868062934,86.8943099975586,86.8943099975586,214399,0.0,0.0
2024-11-05,86.54036791371844,87.15977478027344,86.54036791371844,87.15977478027344,132000,0.0,0.0
2024-11-06,86.54036118629192,87.69068909918887,86.54036118629192,87.51371765136719,191130,0.0,0.0
2024-11-07,86.80582510608693,88.48708099520147,86.80582510608693,87.15977478027344,300676,0.0,0.0
2024-11-08,87.60220504760743,88.92951118469239,87.60220504760743,88.48707580566406,526803,0.0,0.0
2024-11-11,88.92951965332031,88.92951965332031,87.86767734294591,88.92951965332031,244950,0.0,0.0
2024-11-12,87.86767410245608,88.04464556398233,87.24826048505719,87.33674621582031,269399,0.0,0.0
2024-11-13,86.98280250291906,87.24825969279793,86.36338889114475,86.71733856201172,234100,0.0,0.0
